112,"Системы электроснабжения 
1. Перейдите на веб-сайт https://mpei.webex.com/mpei/k2/j.php?MTID=tb6f9cad91109522227b176b117e4180b                                                                          ","Лекция он-лайн, ведет ст.преп. МЭИ Кулага Марина Александровна                                                                                                                                          ",08:30               ,2022-09-22,2
113,"Системы электроснабжения 
1. Перейдите на веб-сайт https://mpei.webex.com/mpei/k2/j.php?MTID=tb6f9cad91109522227b176b117e4180b                                                                          ","Лекция он-лайн, ведет ст.преп. МЭИ Кулага Марина Александровна                                                                                                                                          ",08:30               ,2022-09-29,2
132,Практика НИР                                                                                                                                                                                            ,"Семинар он-лайн, ведет доцент СПбГУ Андрей Викторович Самусенко. https://join.skype.com/hweLhbjX89dQ                                                                                                    ",15:40               ,2022-09-16,1
133,Практика НИР                                                                                                                                                                                            ,"Семинар он-лайн, ведет доцент СПбГУ Андрей Викторович Самусенко. https://join.skype.com/hweLhbjX89dQ                                                                                                    ",15:40               ,2022-09-16,2
12,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",10:10               ,2022-09-20,1
13,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",10:10               ,2022-09-20,2
14,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",11:50               ,2022-09-20,1
15,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",11:50               ,2022-09-20,2
16,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",14:00               ,2022-09-20,1
17,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",14:00               ,2022-09-20,2
130,Практика по получению первичных навыков научно-исследовательской работы                                                                                                                                 ,"Лекционно-практическое занятие, ведет руководитель магистратуры Energynet Светлана Юрьевна Петрова , ауд.2.3                                                                                            ",15:40               ,2022-09-06,1
131,Практика по получению первичных навыков научно-исследовательской работы                                                                                                                                 ,"Лекционно-практическое занятие, ведет руководитель магистратуры Energynet Светлана Юрьевна Петрова , ауд.2.3                                                                                            ",15:40               ,2022-09-27,1
109,Иностранный язык факультатив                                                                                                                                                                            ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",11:50               ,2022-09-27,1
6,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор  ВШЭ Волкова Ирина Олеговна                                                                                                                                             ",14:00               ,2022-09-19,2
10,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ Волкова Ирина Олеговна                                                                                                                                              ",17:00               ,2022-09-19,1
11,Экономика и бизнес в электроэнергетике                                                                                                                                                                  ,"Лекция ауд.2.3, ведет профессор ВШЭ 
Волкова Ирина Олеговна                                                                                                                                             ",17:00               ,2022-09-19,2
125,Ин.яз для спец целей                                                                                                                                                                                    ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",11:50               ,2022-09-30,2
126,Иностранный язык факультатив                                                                                                                                                                            ,"Практика, ведет  ст. препод. СевГУ Елена Николаевна Кабанкова в ауд.2.3                                                                                                                                 ",14:00               ,2022-09-13,2
134,Практика НИР                                                                                                                                                                                            ,"Семинар он-лайн, ведет доцент СПбГУ Андрей Викторович Самусенко. https://join.skype.com/hweLhbjX89dQ                                                                                                    ",15:40               ,2022-09-23,1
135,Практика НИР                                                                                                                                                                                            ,"Семинар он-лайн, ведет доцент СПбГУ Андрей Викторович Самусенко. https://join.skype.com/hweLhbjX89dQ                                                                                                    ",15:40               ,2022-09-23,2
136,Практика НИР                                                                                                                                                                                            ,"Семинар он-лайн, ведет доцент СПбГУ Андрей Викторович Самусенко. https://join.skype.com/hweLhbjX89dQ                                                                                                    ",15:40               ,2022-09-30,1
137,Практика НИР                                                                                                                                                                                            ,"Семинар он-лайн, ведет доцент СПбГУ Андрей Викторович Самусенко. https://join.skype.com/hweLhbjX89dQ                                                                                                    ",15:40               ,2022-09-30,2
138,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=zy0Ddt8mTWQ                                                                                                                          ,09:40               ,2022-09-17,1
139,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=zy0Ddt8mTWQ                                                                                                                          ,09:40               ,2022-09-17,2
140,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=DH1cv0Rdf2w                                                                                                                          ,09:40               ,2022-09-18,1
141,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=DH1cv0Rdf2w                                                                                                                          ,09:40               ,2022-09-18,2
142,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=QgzBDZwanWA                                                                                                                          ,09:40               ,2022-09-24,1
143,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=QgzBDZwanWA                                                                                                                          ,09:40               ,2022-09-24,2
144,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=iqWdbRxM3Vc                                                                                                                          ,09:40               ,2022-09-25,1
145,Выходной день                                                                                                                                                                                           ,Время посвятить себя саморазвитию: https://www.youtube.com/watch?v=iqWdbRxM3Vc                                                                                                                          ,09:40               ,2022-09-25,2
